Symbol,Name,Category
^NSEI,NIFTY 50,Broad Market
^CRSLDX,NIFTY 500,Broad Market
^NSMIDCP,NIFTY NEXT 50,Broad Market
NIFTYMIDCAP150.NS,NIFTY MIDCAP 150,Broad Market
NIFTYSMLCAP250.NS,NIFTY SMALLCAP 250,Broad Market
^NSEBANK,NIFTY BANK,Sectoral
^BSESN,S&P BSE SENSEX,Broad Market
^CNXIT,NIFTY IT,Sectoral
^CNXAUTO,NIFTY AUTO,Sectoral
^CNXPHARMA,NIFTY PHARMA,Sectoral
^CNXFMCG,NIFTY FMCG,Sectoral
^CNXMETAL,NIFTY METAL,Sectoral
^CNXENERGY,NIFTY ENERGY,Sectoral
^CNXREALTY,NIFTY REALTY,Sectoral
NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,Sectoral
^CNXPSUBANK,NIFTY PSU BANK,Sectoral
