symbol,name,sector,market_cap
20MICRONS,20 Microns Limited,Basic Materials,7037893120.0
21STCENMGM,21st Century Management Services Limited,Financial Services,356895008.0
360ONE,360 ONE WAM LIMITED,Financial Services,461831503872.0
3BBLACKBIO,3B Blackbio Dx Limited,,
3IINFOLTD,3i Infotech Limited,Technology,3598455296.0
3MINDIA,3M India Limited,Industrials,381604233216.0
3PLAND,3P Land Holdings Limited,,
5PAISA,5Paisa Capital Limited,Financial Services,15777213440.0
63MOONS,63 moons technologies limited,Technology,31259680768.0
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,2529693440.0
AAATECH,AAA Technologies Limited,Technology,1230090112.0
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,218996555776.0
AAKASH,Aakash Exploration Services Limited,Energy,936562496.0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,2551887360.0
AARNAV,Aarnav Fashions Limited,,
AARON,Aaron Industries Limited,Industrials,2582910208.0
AARTECH,Aartech Solonics Limited,Industrials,1618700672.0
AARTIDRUGS,Aarti Drugs Limited,Healthcare,34650656768.0
AARTIIND,Aarti Industries Limited,Basic Materials,177987665920.0
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,65817526272.0
AARTISURF,Aarti Surfactants Limited,Basic Materials,3196496128.0
AARVI,Aarvi Encon Limited,Industrials,2022104832.0
AAVAS,Aavas Financiers Limited,Financial Services,116473757696.0
ABANSENT,Abans Enterprises Limited,,
ABB,ABB India Limited,Industrials,1531038007296.0
ABBOTINDIA,Abbott India Limited,Healthcare,552800616448.0
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,1025144586240.0
ABCOTS,A B Cotspin India Limited,Consumer Cyclical,5445001216.0
ABDL,Allied Blenders and Distillers Limited,Consumer Defensive,176622977024.0
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,73943547904.0
ABINFRA,A B Infrabuild Limited,Industrials,6585918976.0
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,119666155520.0
ABMINTLLTD,ABM International Limited,Basic Materials,386668800.0
ABMKNO,ABM Knowledgeware Limited,,
ABREL,Aditya Birla Real Estate Limited,Real Estate,148273823744.0
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,350370037760.0
ACC,ACC Limited,Basic Materials,253738139648.0
ACCELYA,Accelya Solutions India Limited,Technology,16730846208.0
ACCURACY,Accuracy Shipping Limited,Industrials,853675200.0
ACE,Action Construction Equipment Limited,Industrials,122929889280.0
ACEINTEG,Ace Integrated Solutions Limited,Industrials,213996000.0
ACI,Archean Chemical Industries Limited,Basic Materials,67247788032.0
ACL,Andhra Cements Limited,Basic Materials,4884201984.0
ACMESOLAR,Acme Solar Holdings Limited,Utilities,243705856000.0
ACSTECH,ACS Technologies Limited,,
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,269405110272.0
ADANIENSOL,Adani Energy Solutions Limited,Utilities,1841806573568.0
ADANIENT,Adani Enterprises Limited,Energy,4222017339392.0
ADANIGREEN,Adani Green Energy Limited,Utilities,2538957438976.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,4227304259584.0
ADANIPOWER,Adani Power Limited,Utilities,4502783524864.0
ADFFOODS,ADF Foods Limited,Consumer Defensive,34414772224.0
ADL,Archidply Decor Limited,Consumer Cyclical,396873632.0
ADOR,Ador Welding Limited,Industrials,21715234816.0
ADROITINFO,Adroit Infotech Limited,Technology,526869568.0
ADSL,Allied Digital Services Limited,Technology,6876470272.0
ADVAIT,Advait Energy Transitions Limited,Industrials,26520590336.0
ADVANCE,Advance Agrolife Limited,Basic Materials,7039286272.0
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,5031427584.0
ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,7844374528.0
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,42438963200.0
