Symbol,Name,InstrumentToken,Category
NIFTY 50,NIFTY 50,256265,Benchmark
NIFTY 500,NIFTY 500,268041,Benchmark
NIFTY NEXT 50,NIFTY NEXT 50,270857,Benchmark
NIFTY MIDCAP 150,NIFTY MIDCAP 150,266249,Benchmark
NIFTY SMLCAP 250,NIFTY SMLCAP 250,267273,Benchmark
NIFTY BANK,NIFTY BANK,260105,Sectoral
SENSEX,SENSEX,265,Benchmark
NIFTY IT,NIFTY IT,259849,Sectoral
NIFTY AUTO,NIFTY AUTO,263433,Sectoral
NIFTY PHARMA,NIFTY PHARMA,262409,Sectoral
NIFTY FMCG,NIFTY FMCG,261897,Sectoral
NIFTY METAL,NIFTY METAL,263689,Sectoral
NIFTY ENERGY,NIFTY ENERGY,261641,Sectoral
NIFTY REALTY,NIFTY REALTY,261129,Sectoral
NIFTY FIN SERVICE,NIFTY FIN SERVICE,257801,Sectoral
NIFTY PSU BANK,NIFTY PSU BANK,262921,Sectoral
