Symbol,Name,InstrumentToken,ISIN
20MICRONS,20 MICRONS,4331777,INE144J01027
21STCENMGM,21ST CENTURY MGMT SERVICE,1025,INE253B01015
360ONE,360 ONE WAM,3343617,INE466L01038
3BBLACKBIO,3B BLACKBIO DX,195204609,INE994E01018
3IINFOLTD,3I INFOTECH,1595393,INE748C01038
3MINDIA,3M INDIA,121345,INE470A01017
3PLAND,3P LAND HOLDINGS,664321,INE105C01023
5PAISA,5PAISA CAPITAL,113921,INE618L01018
63MOONS,63 MOONS TECHNOLOGIES,3038209,INE111B01023
A2ZINFRA,A2Z INFRA ENGINEERING,5351937,INE619I01012
AAATECH,AAA TECHNOLOGIES,3208449,INE0D0U01013
AADHARHFC,AADHAR HOUSING FINANCE L,6074625,INE883F01010
AAKASH,AAKASH EXPLORATION SER L,60161,INE087Z01024
AARNAV,AARNAV FASHIONS,195026177,INE750R01016
AARON,AARON INDUSTRIES,263681,INE721Z01010
AARTECH,AARTECH SOLONICS,4389121,INE01C001026
AARTIDRUGS,AARTI DRUGS,1147137,INE767A01016
AARTIIND,AARTI INDUSTRIES,1793,INE769A01020
AARTIPHARM,AARTI PHARMALABS,3550209,INE0LRU01027
AARTISURF,AARTI SURFACTANTS,4923649,INE09EO01013
AARVI,AARVI ENCON,4882689,INE754X01016
AAVAS,AAVAS FINANCIERS,1378561,INE216P01012
AB10BKINAV,BIRLASLAMC - AB10BKINAV,7835393,
ABB,ABB INDIA,3329,INE117A01022
ABBOTINDIA,ABBOTT INDIA,4583169,INE358A01014
ABCAPITAL,ADITYA BIRLA CAPITAL,5533185,INE674K01013
ABCOTS,A B COTSPIN INDIA,194337281,INE08PH01015
ABDL,ALLIED BLEND N DISTILS L,6222849,INE552Z01027
ABFRL,ADITYA BIRLA FASHION & RT,7707649,INE647O01011
ABGSEC,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,6247425,INF209KC1134
ABGSECINAV,BIRLASLAMC - ABGSECINAV,6249217,
ABINFRA,A B INFRABUILD,6917121,INE00YB01025
ABLBL,ADITYA BIRLA LIFES BRAN L,193751809,INE14LE01019
ABMINTLLTD,ABM INTERNATIONAL,1420545,INE251C01025
ABMKNO,A B M KNOWLEDGEWARE,195207169,INE850B01026
ABREL,ADITYA BIRLA REAL EST,160001,INE055A01016
ABSL10BANK,BIRLASLAMC - ABSL10BANK,194623233,INF209KC1670
ABSLAMC,ADIT BIRL SUN LIF AMC,1540609,INE404A01024
ABSLBAINAV,ABSLBANETF INAV,2550785,
ABSLBANETF,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,3580673,INF209KB17D5
ABSLLIQUID,ADITYA BIRLA SUN LIFE CRISIL LIQUID OVERNIGHT ETF,3716609,INF209KB18T9
ABSLLQINAV,BIRLASLAMC - ABSLLQINAV,3718145,
ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,194832897,INF209KC1662
ABSLNN50ET,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF,1878785,INF209KB16D7
ABSLNNINAV,ABSLNN50ET INAV,2553089,
ABSLPSE,ADITYA BIRLA SUN LIFE NIFTY PSE ETF,6094337,INF209KB19Z4
ABSMSCINAV,BIRLASLAMC - ABSMSCINAV,7834881,
ABSPSEINAV,BIRLASLAMC-ABSPSEINAV,6095617,
ACC,ACC,5633,INE012A01025
ACCELYA,ACCELYA SOLN INDIA,1805569,INE793A01012
ACCURACY,ACCURACY SHIPPING,375041,INE648Z01023
ACE,ACTION CONST EQUIP,3478273,INE731H01025
ACEINTEG,ACE INTEGRATED SOLU.,3015425,INE543V01017
ACI,ARCHEAN CHEMICAL IND,3078145,INE128X01021
ACL,ANDHRA CEMENTS,3947521,INE666E01020
ACMESOLAR,ACME SOLAR HOLDINGS,6927617,INE622W01025
ACSTECH,A C S TECHNOLOGIES,195208449,INE366C01021
ACUTAAS,ACUTAAS CHEMICALS,1427969,INE00FF01025
ADANIENSOL,ADANI ENERGY SOLUTION,2615553,INE931S01010
ADANIENT,ADANI ENTERPRISES,6401,INE423A01024
ADANIGREEN,ADANI GREEN ENERGY,912129,INE364U01010
ADANIPORTS,ADANI PORT & SEZ,3861249,INE742F01042
ADANIPOWER,ADANI POWER,4451329,INE814H01029
ADFFOODS,ADF FOODS,5058817,INE982B01027
ADL,ARCHIDPLY DECOR,62721,INE0CHO01012
ADOR,ADOR WELDING,8705,INE045A01017
